Ticker,Land,Nivå
AAPL,USA,Kärna
MSFT,USA,Kärna
NVDA,USA,Kärna
AMZN,USA,Kärna
GOOGL,USA,Kärna
META,USA,Kärna
BRK-B,USA,Kärna
LLY,USA,Kärna
AVGO,USA,Kärna
JPM,USA,Kärna
V,USA,Kärna
MA,USA,Kärna
XOM,USA,Kärna
COST,USA,Kärna
WMT,USA,Kärna
NFLX,USA,Kärna
ORCL,USA,Kärna
JNJ,USA,Kärna
PG,USA,Kärna
HD,USA,Kärna
BAC,USA,Kärna
KO,USA,Kärna
ABBV,USA,Kärna
CVX,USA,Kärna
CRM,USA,Kärna
AMD,USA,Kärna
PEP,USA,Kärna
TMO,USA,Kärna
CSCO,USA,Kärna
MCD,USA,Kärna
IBM,USA,Kärna
GE,USA,Kärna
CAT,USA,Kärna
GS,USA,Kärna
AXP,USA,Kärna
AMGN,USA,Kärna
TXN,USA,Kärna
INTU,USA,Kärna
QCOM,USA,Kärna
NOW,USA,Kärna
ADBE,USA,Bred
ACN,USA,Bred
ABT,USA,Bred
DIS,USA,Bred
CMCSA,USA,Bred
NKE,USA,Bred
PM,USA,Bred
RTX,USA,Bred
HON,USA,Bred
LOW,USA,Bred
UPS,USA,Bred
UNH,USA,Bred
PFE,USA,Bred
T,USA,Bred
VZ,USA,Bred
AMAT,USA,Bred
LRCX,USA,Bred
MU,USA,Bred
KLAC,USA,Bred
PANW,USA,Bred
CRWD,USA,Bred
PLTR,USA,Bred
SNOW,USA,Bred
UBER,USA,Bred
BKNG,USA,Bred
ABNB,USA,Bred
SBUX,USA,Bred
MDLZ,USA,Bred
GILD,USA,Bred
ISRG,USA,Bred
REGN,USA,Bred
SYK,USA,Bred
MDT,USA,Bred
EL,USA,Bred
C,USA,Bred
CI,USA,Bred
CVS,USA,Bred
SCHW,USA,Bred
BLK,USA,Bred
MS,USA,Bred
USB,USA,Bred
PNC,USA,Bred
TGT,USA,Bred
TJX,USA,Bred
ROST,USA,Bred
DE,USA,Bred
ETN,USA,Bred
EMR,USA,Bred
MMM,USA,Bred
FDX,USA,Bred
GM,USA,Bred
F,USA,Bred
COP,USA,Bred
SLB,USA,Bred
EOG,USA,Bred
OXY,USA,Bred
NEE,USA,Bred
DUK,USA,Bred
SO,USA,Bred
AEP,USA,Bred
CEG,USA,Bred
SPGI,USA,Bred
ICE,USA,Bred
CME,USA,Bred
MCO,USA,Bred
ADP,USA,Bred
PAYX,USA,Bred
CDNS,USA,Bred
SNPS,USA,Bred
MAR,USA,Bred
HLT,USA,Bred
ORLY,USA,Bred
AZO,USA,Bred
FAST,USA,Bred
CARR,USA,Bred
PCAR,USA,Bred
NXPI,USA,Bred
MCHP,USA,Bred
MRVL,USA,Bred
DELL,USA,Bred
HPE,USA,Bred
APO,USA,Bred
KKR,USA,Bred
COF,USA,Bred
EBAY,USA,Bred
PYPL,USA,Bred
RY.TO,Kanada,Kärna
TD.TO,Kanada,Kärna
SHOP.TO,Kanada,Kärna
ENB.TO,Kanada,Kärna
CNR.TO,Kanada,Kärna
CP.TO,Kanada,Kärna
BMO.TO,Kanada,Kärna
BNS.TO,Kanada,Kärna
TRI.TO,Kanada,Kärna
CNQ.TO,Kanada,Kärna
SU.TO,Kanada,Kärna
MFC.TO,Kanada,Kärna
BCE.TO,Kanada,Kärna
T.TO,Kanada,Kärna
WCN.TO,Kanada,Kärna
CSU.TO,Kanada,Kärna
ATD.TO,Kanada,Kärna
QSR.TO,Kanada,Kärna
NTR.TO,Kanada,Kärna
ABX.TO,Kanada,Kärna
AEM.TO,Kanada,Kärna
FTS.TO,Kanada,Kärna
SLF.TO,Kanada,Kärna
GWO.TO,Kanada,Kärna
BAM.TO,Kanada,Bred
BN.TO,Kanada,Bred
TCK-B.TO,Kanada,Bred
FNV.TO,Kanada,Bred
POW.TO,Kanada,Bred
MRU.TO,Kanada,Bred
L.TO,Kanada,Bred
DOL.TO,Kanada,Bred
CCL-B.TO,Kanada,Bred
EMA.TO,Kanada,Bred
TRP.TO,Kanada,Bred
KEY.TO,Kanada,Bred
PPL.TO,Kanada,Bred
IMO.TO,Kanada,Bred
TOU.TO,Kanada,Bred
ARX.TO,Kanada,Bred
GIB-A.TO,Kanada,Bred
WSP.TO,Kanada,Bred
STN.TO,Kanada,Bred
TFII.TO,Kanada,Bred
IAG.TO,Kanada,Bred
NA.TO,Kanada,Bred
EQB.TO,Kanada,Bred
CIX.TO,Kanada,Bred
MC.PA,Frankrike,Kärna
OR.PA,Frankrike,Kärna
TTE.PA,Frankrike,Kärna
SAN.PA,Frankrike,Kärna
AIR.PA,Frankrike,Kärna
SU.PA,Frankrike,Kärna
BNP.PA,Frankrike,Kärna
EL.PA,Frankrike,Kärna
SAF.PA,Frankrike,Kärna
AI.PA,Frankrike,Kärna
CS.PA,Frankrike,Kärna
RI.PA,Frankrike,Kärna
DG.PA,Frankrike,Kärna
KER.PA,Frankrike,Kärna
HO.PA,Frankrike,Kärna
ENGI.PA,Frankrike,Kärna
VIE.PA,Frankrike,Kärna
CAP.PA,Frankrike,Kärna
ORA.PA,Frankrike,Kärna
GLE.PA,Frankrike,Kärna
STLAP.PA,Frankrike,Kärna
ML.PA,Frankrike,Kärna
ACA.PA,Frankrike,Bred
VIV.PA,Frankrike,Bred
PUB.PA,Frankrike,Bred
DSY.PA,Frankrike,Bred
ERF.PA,Frankrike,Bred
RMS.PA,Frankrike,Bred
ATO.PA,Frankrike,Bred
EN.PA,Frankrike,Bred
LR.PA,Frankrike,Bred
BN.PA,Frankrike,Bred
WLN.PA,Frankrike,Bred
SGO.PA,Frankrike,Bred
SW.PA,Frankrike,Bred
RNO.PA,Frankrike,Bred
ASML.AS,Nederländerna,Kärna
SHELL.AS,Nederländerna,Kärna
INGA.AS,Nederländerna,Kärna
ADYEN.AS,Nederländerna,Kärna
PRX.AS,Nederländerna,Kärna
PHIA.AS,Nederländerna,Kärna
