Ticker,Segment
ABB.ST,Large
ADDT-B.ST,Large
AFRY.ST,Mid
AAK.ST,Large
ALLEI.ST,Large
ALFA.ST,Large
ARJO-B.ST,Mid
ASSA-B.ST,Large
ATCO-A.ST,Large
AXFO.ST,Large
AZN.ST,Large
BALD-B.ST,Large
BEIJ-B.ST,Large
BETS-B.ST,Large
BILL.ST,Mid
BIOT.ST,Mid
BOL.ST,Large
BUFAB.ST,Mid
CAST.ST,Large
CAT-B.ST,Mid
CINT.ST,Mid
DOM.ST,Large
ELAN-B.ST,Mid
ELUX-B.ST,Large
EMBRAC-B.ST,Large
ENGCON-B.ST,Mid
EPI-A.ST,Large
EQT.ST,Large
ERIC-B.ST,Large
ESSITY-B.ST,Large
EVO.ST,Large
FABG.ST,Large
GETI-B.ST,Large
HEXA-B.ST,Large
HEXPOL-B.ST,Large
HM-B.ST,Large
HOLM-B.ST,Large
HUSQ-B.ST,Large
INDT.ST,Mid
INDU-C.ST,Large
INVE-B.ST,Large
KINV-B.ST,Large
LAGR-B.ST,Mid
LATO-B.ST,Large
LIFCO-B.ST,Large
LUG.ST,Mid
MEKO.ST,Mid
MTRS.ST,Mid
MYCR.ST,Large
NCC-B.ST,Mid
NDA-SE.ST,Large
NIBE-B.ST,Large
NOBI.ST,Small
NOLA-B.ST,Mid
NP3.ST,Mid
NYF.ST,Mid
PEAB-B.ST,Mid
RATO-B.ST,Large
SAAB-B.ST,Large
SAND.ST,Large
SCA-B.ST,Large
SDIP-B.ST,Mid
SEB-A.ST,Large
SECT-B.ST,Large
SHB-A.ST,Large
SINCH.ST,Large
SKA-B.ST,Large
SKF-B.ST,Large
SOBI.ST,Large
SSAB-A.ST,Large
SWECO-B.ST,Large
SWED-A.ST,Large
SYNSAM.ST,Mid
TEL2-B.ST,Large
TELIA.ST,Large
THULE.ST,Large
TREL-B.ST,Large
VIT-B.ST,Mid
VOLV-B.ST,Large
WALL-B.ST,Large
WIHL.ST,Large
